paper_arxiv_id,paper_title,repo_url,framework,year,subfield,conference,is_official,mentioned_in_paper
2404.12753,AutoScraper: A Progressive Understanding Web Agent for Web Scraper Generation,https://github.com/ez-hwh/autoscraper,none,2024,other_ml,,True,True
2307.16045,Automatic Extraction of the Romanian Academic Word List: Data and Methods,https://github.com/bucuram/ro-awl,none,2023,other_ml,,True,True
2205.06688,A Unified Framework for Implicit Sinkhorn Differentiation,https://github.com/marvin-eisenberger/implicit-sinkhorn,pytorch,2022,other_ml,,True,True
2406.02056,CAP: A Context-Aware Neural Predictor for NAS,https://github.com/jihan4431/CAP,pytorch,2024,other_ml,,True,True
2310.11978,Can bin-wise scaling improve consistency and adaptivity of prediction uncertainty for machine learning regression ?,https://github.com/ppernot/2023_bvs,none,2023,other_ml,,True,True
2309.03576,DropPos: Pre-Training Vision Transformers by Reconstructing Dropped Positions,https://github.com/haochen-wang409/droppos,pytorch,2023,other_ml,droppos-pre-training-vision-transformers-by,True,True
2307.04916,Rapid Deforestation and Burned Area Detection using Deep Multimodal Learning on Satellite Imagery,https://github.com/h2oai/cvpr-multiearth-deforestation-segmentation,none,2023,other_ml,,True,True
2310.10467,Stance Detection with Collaborative Role-Infused LLM-Based Agents,https://github.com/tsinghua-fib-lab/cola,none,2023,other_ml,,True,True
2406.14670,Exploring Design Choices for Building Language-Specific LLMs,https://github.com/atutej/token-language-adaptation,none,2024,other_ml,,True,True
2411.05900,Enhancing Cardiovascular Disease Prediction through Multi-Modal Self-Supervised Learning,https://github.com/fragirla/mmssl-for-cvd-pred,pytorch,2024,other_ml,,True,True
2211.03122,Computational anatomy atlas using multilayer perceptron with Lipschitz regularization,https://github.com/nndt-team/nndt,jax,2022,other_ml,,True,True
2206.08420,Generalised Bayesian Inference for Discrete Intractable Likelihood,https://github.com/takuomatsubara/discrete-fisher-bayes,pytorch,2022,other_ml,,True,True
2301.12995,FedFA: Federated Feature Augmentation,https://github.com/tfzhou/fedfa,pytorch,2023,other_ml,,True,True
2506.04193,Understanding challenges to the interpretation of disaggregated evaluations of algorithmic fairness,https://github.com/google-research/google-research,tf,2025,other_ml,,True,True
2501.13492,Quantized Spike-driven Transformer,https://github.com/bollossom/qsd-transformer,pytorch,2025,other_ml,,True,True
2312.06153,Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,https://github.com/microsoft/opendatasheets-framework,none,2023,other_ml,,True,True
2302.12189,"HL Dataset: Visually-grounded Description of Scenes, Actions and Rationales",https://github.com/michelecafagna26/hl-dataset,none,2023,other_ml,,True,True
2207.09239,Assaying Out-Of-Distribution Generalization in Transfer Learning,https://github.com/amazon-research/assaying-ood,pytorch,2022,other_ml,,True,True
2205.10093,Visual Concepts Tokenization,https://github.com/thomasmry/vct,pytorch,2022,other_ml,,True,True
2402.18312,How to think step-by-step: A mechanistic understanding of chain-of-thought reasoning,https://github.com/joykirat18/how-to-think-step-by-step,jax,2024,other_ml,,True,True
2206.03362,Building Robust Ensembles via Margin Boosting,https://github.com/zdhnarsil/margin-boosting,pytorch,2022,other_ml,,True,True
2204.10848,MOLE: Digging Tunnels Through Multimodal Multi-Objective Landscapes,https://github.com/schaepermeier/moleopt,none,2022,other_ml,,True,True
2206.08768,C-Pack of IPAs: A C90 Program Benchmark of Introductory Programming Assignments,https://github.com/pmorvalho/c-pack-ipas,none,2022,other_ml,,True,True
2203.15285,Semantic Line Detection Using Mirror Attention and Comparative Ranking and Matching,https://github.com/dongkwonjin/Semantic-Line-DRM,pytorch,2022,other_ml,semantic-line-detection-using-mirror,True,True
2306.13854,Similarity Preserving Adversarial Graph Contrastive Learning,https://github.com/yeonjun-in/torch-sp-agcl,pytorch,2023,other_ml,,True,True
2411.08992,IDCIA: Immunocytochemistry Dataset for Cellular Image Analysis,https://github.com/isu-nrt-d4/cell-analysis,none,2024,other_ml,,True,True
2208.03318,Delta Hedging Liquidity Positions on Automated Market Makers,https://github.com/adamkhakhar/lp-delta-hedge,pytorch,2022,other_ml,,True,True
2308.06129,Uncertainty Quantification for Image-based Traffic Prediction across Cities,https://github.com/alextimans/traffic4cast-uncertainty,pytorch,2023,other_ml,,True,True
2503.05776,FAA-CLIP: Federated Adversarial Adaptation of CLIP,https://github.com/aipmlab/faa-clip,pytorch,2025,other_ml,,True,True
2312.09887,Probabilistic learning of the Purkinje network from the electrocardiogram,https://github.com/fsahli/purkinje-learning,jax,2023,other_ml,,True,True
2210.05574,Motion Aware Self-Supervision for Generic Event Boundary Detection,https://github.com/rayush7/motion_ssl_gebd,none,2022,other_ml,,True,True
2304.12616,Weakly-Supervised Temporal Action Localization with Bidirectional Semantic Consistency Constraint,https://github.com/lgzlilili/biscc,pytorch,2023,other_ml,,True,True
2409.15268,Style Outweighs Substance: Failure Modes of LLM Judges in Alignment Benchmarking,https://github.com/penfever/sos-bench,none,2024,other_ml,,True,True
2206.08901,SYMBA: Symbolic Computation of Squared Amplitudes in High Energy Physics with Machine Learning,https://github.com/ml4sci/symbahep,pytorch,2022,other_ml,,True,True
2310.17153,Hierarchical Semi-Implicit Variational Inference with Application to Diffusion Model Acceleration,https://github.com/longinyu/hsivi,pytorch,2023,other_ml,hierarchical-semi-implicit-variational,True,True
2505.11935,ChartEdit: How Far Are MLLMs From Automating Chart Analysis? Evaluating MLLMs' Capability via Chart Editing,https://github.com/xxlllz/chartedit,none,2025,other_ml,,True,True
2312.07500,Multi-Branch Network for Imagery Emotion Prediction,https://github.com/baoninh2808/multi-branch-network-for-imagery-emotion-prediction,pytorch,2023,other_ml,,True,True
2501.10466,Improving the Efficiency of Self-Supervised Adversarial Training through Latent Clustering-Based Selection,https://github.com/somrita99/SSATwithLCS,pytorch,2025,other_ml,,True,True
2201.05282,Domain-shift adaptation via linear transformations,https://github.com/rvegaml/da_linear,tf,2022,other_ml,,True,True
2307.03705,Intelligent Robotic Sonographer: Mutual Information-based Disentangled Reward Learning from Few Demonstrations,https://github.com/yuan-12138/mi-gpsr,pytorch,2023,other_ml,,True,True
2401.09031,Data Attribution for Diffusion Models: Timestep-induced Bias in Influence Estimation,https://github.com/txie1/diffusion-retrac,pytorch,2024,other_ml,,True,True
2501.13418,Rethinking the Sample Relations for Few-Shot Classification,https://github.com/HobbitLong/SupContrast,pytorch,2025,other_ml,,True,True
2310.02277,"Pruning Small Pre-Trained Weights Irreversibly and Monotonically Impairs ""Difficult"" Downstream Tasks in LLMs",https://github.com/vita-group/junk_dna_hypothesis,pytorch,2023,other_ml,,True,True
2303.16209,AmorProt: Amino Acid Molecular Fingerprints Repurposing based Protein Fingerprint,https://github.com/mhlee216/amorprot,none,2023,other_ml,,True,True
2208.02645,Neural network accelerator for quantum control,https://github.com/fastmachinelearning/ml4quantum-release,tf,2022,other_ml,,True,True
2503.04835,Distilling Dataset into Neural Field,https://github.com/aailab-kaist/ddif,pytorch,2025,other_ml,,True,True
2205.04843,Assessing Streamline Plausibility Through Randomized Iterative Spherical-Deconvolution Informed Tractogram Filtering,https://github.com/djoerch/randomised_filtering,tf,2022,other_ml,,True,True
2405.09579,Scalable Sparse Regression for Model Discovery: The Fast Lane to Insight,https://github.com/mgolden30/spider,none,2024,other_ml,,True,True
2303.01483,Auxiliary Functions as Koopman Observables: Data-Driven Analysis of Dynamical Systems via Polynomial Optimization,https://github.com/dcn-fau-avh/edmd-sos,none,2023,other_ml,,True,True
2312.09108,Greedy Shapley Client Selection for Communication-Efficient Federated Learning,https://github.com/pringlesinghal/greedyfed,pytorch,2023,other_ml,,True,True
2305.11575,The Deep Promotion Time Cure Model,https://github.com/vhmedina/deepcure,tf,2023,other_ml,,True,True
2409.06618,Hierarchical Multi-Label Classification with Missing Information for Benthic Habitat Imagery,https://github.com/dalhousieai/benthicnet_probes,pytorch,2024,other_ml,,True,True
2404.13752,Adversarial Representation Engineering: A General Model Editing Framework for Large Language Models,https://github.com/zhang-yihao/adversarial-representation-engineering,pytorch,2024,other_ml,,True,True
2302.04527,Toward Extremely Lightweight Distracted Driver Recognition With Distillation-Based Neural Architecture Search and Knowledge Transfer,https://github.com/dichao-liu/lightweight_distracted_driver_recognition_with_distillation-based_nas_and_knowledge_transfer,pytorch,2023,other_ml,,True,True
2410.12671,New Paradigm of Adversarial Training: Breaking Inherent Trade-Off between Accuracy and Robustness via Dummy Classes,https://github.com/FlaAI/DUCAT,pytorch,2024,other_ml,,True,True
2202.08312,Improved Differential Privacy for SGD via Optimal Private Linear Operators on Adaptive Streams,https://github.com/google-research/federated,tf,2022,other_ml,,True,True
